ensembl_id,gene_name,gene_type
ENSG00000263515,MIR548AN,miRNA
ENSG00000207033,RNU6-154P,snRNA
ENSG00000206864,RNU6-207P,snRNA
ENSG00000234593,KAZN-AS1,lncRNA
ENSG00000265456,MIR3672,miRNA
ENSG00000206862,Y_RNA,misc_RNA
ENSG00000212321,U3,snoRNA
ENSG00000252930,RNU6-1015P,snRNA
ENSG00000207100,,snoRNA
ENSG00000221463,MIR1277,miRNA
ENSG00000252163,RN7SKP31,misc_RNA
ENSG00000216060,MIR934,miRNA
ENSG00000207041,RNU6-3P,snRNA
ENSG00000199878,RN7SKP149,misc_RNA
ENSG00000201594,RNA5SP517,rRNA_pseudogene
ENSG00000201000,RNA5SP516,rRNA_pseudogene
ENSG00000207866,MIR514A2,miRNA
ENSG00000207868,MIR514A1,miRNA
ENSG00000202473,RN7SKP81,misc_RNA
ENSG00000221081,MIR320D2,miRNA
ENSG00000239579,RN7SL325P,misc_RNA
ENSG00000270605,,lncRNA
ENSG00000252219,MIR892C,miRNA
ENSG00000207867,MIR514A3,miRNA
ENSG00000216075,MIR890,miRNA
ENSG00000222114,RNU6-985P,snRNA
ENSG00000216005,MIR888,miRNA
ENSG00000215943,MIR892A,miRNA
ENSG00000216098,MIR892B,miRNA
ENSG00000216064,MIR891B,miRNA
ENSG00000202199,RNU1-115P,snRNA
ENSG00000189337,KAZN,protein_coding
ENSG00000207641,MIR510,miRNA
ENSG00000216056,MIR891A,miRNA
ENSG00000236046,,lncRNA
ENSG00000199424,Y_RNA,misc_RNA
ENSG00000265789,MIR4330,miRNA
ENSG00000278724,Metazoa_SRP,misc_RNA
ENSG00000164543,STK17A,protein_coding
ENSG00000222313,RN7SKP267,misc_RNA
ENSG00000201912,RN7SKP189,misc_RNA
ENSG00000225787,LSM3P3,processed_pseudogene
ENSG00000212595,RNA5SP525,rRNA
ENSG00000252205,RNU6-764P,snRNA
ENSG00000216171,MIR513C,miRNA
ENSG00000231156,,lncRNA
ENSG00000207871,MIR513B,miRNA
ENSG00000207957,MIR105-1,miRNA
ENSG00000207873,MIR513A1,miRNA
ENSG00000211583,MIR767,miRNA
ENSG00000228873,,lncRNA
ENSG00000207984,MIR513A2,miRNA
ENSG00000207818,MIR105-2,miRNA
ENSG00000207731,MIR506,miRNA
ENSG00000207969,MIR507,miRNA
ENSG00000124374,PAIP2B,protein_coding
ENSG00000207589,MIR508,miRNA
ENSG00000252583,MIR514B,miRNA
ENSG00000212013,MIR509-2,miRNA
ENSG00000254416,LINC02732,lncRNA
ENSG00000212014,MIR509-3,miRNA
ENSG00000208000,MIR509-1,miRNA
ENSG00000202051,RNU6-382P,snRNA
ENSG00000237623,NICN2P,processed_pseudogene
ENSG00000266158,RN7SL785P,misc_RNA
ENSG00000203402,,lncRNA
ENSG00000221459,SNORA11C,snoRNA
ENSG00000232009,,processed_pseudogene
ENSG00000226556,NPM1P49,processed_pseudogene
ENSG00000277605,Metazoa_SRP,misc_RNA
ENSG00000256717,LINC02698,lncRNA
ENSG00000196741,LINC01560,lncRNA
ENSG00000254422,,lncRNA
ENSG00000235636,NUS1P1,processed_pseudogene
ENSG00000254511,,lncRNA
ENSG00000163586,FABP1,protein_coding
ENSG00000225215,SMARCE1P1,processed_pseudogene
ENSG00000254851,,unprocessed_pseudogene
ENSG00000008056,SYN1,protein_coding
ENSG00000226537,OR7E33P,unprocessed_pseudogene
ENSG00000228597,MTND4P1,processed_pseudogene
ENSG00000230009,MTCO2P3,processed_pseudogene
ENSG00000279754,,TEC
ENSG00000255149,,processed_pseudogene
ENSG00000231667,OR7E111P,unprocessed_pseudogene
ENSG00000285742,,lncRNA
ENSG00000214178,PPIAP23,processed_pseudogene
ENSG00000102554,KLF5,protein_coding
ENSG00000255429,,lncRNA
ENSG00000255241,,lncRNA
ENSG00000198382,UVRAG,protein_coding
ENSG00000215288,,processed_pseudogene
ENSG00000253845,,processed_pseudogene
ENSG00000155097,ATP6V1C1,protein_coding
ENSG00000263698,,lncRNA
ENSG00000134760,DSG1,protein_coding
ENSG00000286211,,lncRNA
ENSG00000231172,EVA1A-AS,lncRNA
ENSG00000286408,,lncRNA
ENSG00000279791,,TEC
ENSG00000249984,,lncRNA
ENSG00000178093,TSSK6,protein_coding
ENSG00000234429,ANKRD11P1,processed_pseudogene
ENSG00000249349,,lncRNA
ENSG00000284879,,lncRNA
ENSG00000237442,HNRNPA1P57,transcribed_processed_pseudogene
ENSG00000226421,SLC25A5P5,processed_pseudogene
ENSG00000251206,TILRLS,lncRNA
ENSG00000243304,,processed_pseudogene
ENSG00000230000,,lncRNA
ENSG00000249736,LINC02242,lncRNA
ENSG00000287749,,lncRNA
ENSG00000286745,,lncRNA
ENSG00000250928,,processed_pseudogene
ENSG00000236538,ZNF863P,processed_pseudogene
ENSG00000186010,NDUFA13,protein_coding
ENSG00000278921,EPB41L4A-DT,lncRNA
ENSG00000271696,,processed_pseudogene
ENSG00000149609,C20orf144,protein_coding
ENSG00000271194,RNF138P2,processed_pseudogene
ENSG00000234686,,lncRNA
ENSG00000249023,,lncRNA
ENSG00000237026,,processed_pseudogene
ENSG00000187546,AGMO,protein_coding
ENSG00000235084,CHCHD2P6,processed_pseudogene
ENSG00000230840,,processed_pseudogene
ENSG00000145839,IL9,protein_coding
ENSG00000235143,,lncRNA
ENSG00000281195,,lncRNA
ENSG00000227354,RBM26-AS1,lncRNA
ENSG00000271803,,lncRNA
ENSG00000225478,,processed_pseudogene
ENSG00000101412,E2F1,protein_coding
ENSG00000028137,TNFRSF1B,protein_coding
ENSG00000074211,PPP2R2C,protein_coding
ENSG00000121152,NCAPH,protein_coding
ENSG00000271776,,lncRNA
ENSG00000229865,RPL31P54,processed_pseudogene
ENSG00000174015,CBY2,protein_coding
ENSG00000273300,,lncRNA
ENSG00000207019,RNU6-167P,snRNA
ENSG00000273212,,lncRNA
ENSG00000154611,PSMA8,protein_coding
ENSG00000093009,CDC45,protein_coding
ENSG00000286262,,lncRNA
ENSG00000184274,LINC00315,lncRNA
ENSG00000164556,FAM183BP,processed_pseudogene
ENSG00000229382,,lncRNA
ENSG00000224188,UBE2D3P4,processed_pseudogene
ENSG00000237664,LINC00316,lncRNA
ENSG00000237001,WASF3-AS1,lncRNA
ENSG00000228815,MARK2P13,processed_pseudogene
ENSG00000156411,ATP5MJ,protein_coding
ENSG00000234467,SLC25A1P2,processed_pseudogene
ENSG00000275139,,lncRNA
ENSG00000101417,PXMP4,protein_coding
ENSG00000249773,,protein_coding
ENSG00000205424,PCBP3-AS1,lncRNA
ENSG00000281167,,lncRNA
ENSG00000286886,,lncRNA
ENSG00000225718,,lncRNA
ENSG00000229246,LINC00377,lncRNA
ENSG00000276633,,lncRNA
ENSG00000280604,,lncRNA
ENSG00000088451,TGDS,protein_coding
ENSG00000274248,,lncRNA
ENSG00000250194,,processed_pseudogene
ENSG00000250551,MIR583HG,lncRNA
ENSG00000235379,RPL7P31,processed_pseudogene
ENSG00000183570,PCBP3,protein_coding
ENSG00000224907,RPL21P91,processed_pseudogene
ENSG00000214807,NPM1P31,processed_pseudogene
ENSG00000270623,SPCS2P2,processed_pseudogene
ENSG00000230809,RPS6P15,processed_pseudogene
ENSG00000227492,CHUK-DT,lncRNA
ENSG00000182348,ZNF804B,protein_coding
ENSG00000120708,TGFBI,protein_coding
ENSG00000165669,FAM204A,protein_coding
ENSG00000130287,NCAN,protein_coding
ENSG00000236907,,unprocessed_pseudogene
ENSG00000223559,,processed_pseudogene
ENSG00000226392,MTATP6P21,unprocessed_pseudogene
ENSG00000232975,MTCO1P57,unprocessed_pseudogene
ENSG00000233854,POU6F2-AS2,lncRNA
ENSG00000229188,,lncRNA
ENSG00000234085,,unprocessed_pseudogene
ENSG00000230837,RPL31P2,processed_pseudogene
ENSG00000283743,,lncRNA
ENSG00000235243,,processed_pseudogene
ENSG00000230753,ZNF341-AS1,lncRNA
ENSG00000236638,,processed_pseudogene
ENSG00000263858,MIR4769,miRNA
ENSG00000101421,CHMP4B,protein_coding
ENSG00000126767,ELK1,protein_coding
ENSG00000229403,,lncRNA
ENSG00000233420,,lncRNA
ENSG00000214652,ZNF727,protein_coding
ENSG00000225128,LINC00972,lncRNA
ENSG00000204464,TMEM51-AS2,lncRNA
ENSG00000228928,KPNA2P2,processed_pseudogene
ENSG00000231523,SEPTIN14P1,unprocessed_pseudogene
ENSG00000233372,,lncRNA
ENSG00000283259,,lncRNA
ENSG00000100867,DHRS2,protein_coding
ENSG00000284543,LINC01226,lncRNA
ENSG00000240639,RN7SL666P,misc_RNA
ENSG00000226038,PPIAP21,processed_pseudogene
ENSG00000226670,BCAS2P3,processed_pseudogene
ENSG00000252193,,scaRNA
ENSG00000104490,NCALD,protein_coding
ENSG00000225801,RABEPKP1,processed_pseudogene
ENSG00000225263,PCDH9-AS3,lncRNA
ENSG00000242372,EIF6,protein_coding
ENSG00000075213,SEMA3A,protein_coding
ENSG00000134882,UBAC2,protein_coding
ENSG00000154845,PPP4R1,protein_coding
ENSG00000227376,FTH1P16,processed_pseudogene
ENSG00000254702,,processed_pseudogene
ENSG00000105705,SUGP1,protein_coding
ENSG00000130939,UBE4B,protein_coding
ENSG00000233497,HNRNPA1P60,processed_pseudogene
ENSG00000245148,ARAP1-AS2,lncRNA
ENSG00000250390,,lncRNA
ENSG00000287245,,lncRNA
ENSG00000253170,,lncRNA
ENSG00000255014,ARL6IP1P3,processed_pseudogene
ENSG00000135226,UGT2B28,protein_coding
ENSG00000224776,RPSAP50,processed_pseudogene
ENSG00000166002,SMCO4,protein_coding
ENSG00000267064,UXT-AS1,lncRNA
ENSG00000255239,TREHP1,unprocessed_pseudogene
ENSG00000224656,SMSP1,processed_pseudogene
ENSG00000229968,,processed_pseudogene
ENSG00000188459,WASF4P,processed_pseudogene
ENSG00000224401,RPL7P57,processed_pseudogene
ENSG00000102265,TIMP1,protein_coding
ENSG00000149380,P4HA3,protein_coding
ENSG00000133119,RFC3,protein_coding
ENSG00000248641,HMGA1P2,processed_pseudogene
ENSG00000251424,,unprocessed_pseudogene
ENSG00000286609,,lncRNA
ENSG00000163138,PACRGL,protein_coding
ENSG00000287077,,lncRNA
ENSG00000233334,FAM53B-AS1,lncRNA
ENSG00000119655,NPC2,protein_coding
ENSG00000107829,FBXW4,protein_coding
ENSG00000252367,Y_RNA,misc_RNA
ENSG00000132646,PCNA,protein_coding
ENSG00000231299,SEPTIN14P24,unprocessed_pseudogene
ENSG00000235450,,lncRNA
ENSG00000233782,ZNF90P3,processed_pseudogene
ENSG00000223558,TRIM60P17,processed_pseudogene
ENSG00000147130,ZMYM3,protein_coding
ENSG00000196715,VKORC1L1,protein_coding
ENSG00000238124,,lncRNA
ENSG00000233918,,processed_pseudogene
ENSG00000285670,,lncRNA
ENSG00000278959,,TEC
ENSG00000228711,,processed_pseudogene
ENSG00000227979,,processed_pseudogene
ENSG00000227545,,processed_pseudogene
ENSG00000233491,,transcribed_unitary_pseudogene
ENSG00000227128,LBX1-AS1,lncRNA
ENSG00000253564,,processed_pseudogene
ENSG00000253885,ARF1P3,processed_pseudogene
ENSG00000253942,,processed_pseudogene
ENSG00000212517,,snoRNA
ENSG00000104537,ANXA13,protein_coding
ENSG00000101290,CDS2,protein_coding
ENSG00000155265,GOLGA7B,protein_coding
ENSG00000235550,ANKRD26P2,unprocessed_pseudogene
ENSG00000080166,DCT,protein_coding
ENSG00000229064,,processed_pseudogene
ENSG00000106605,BLVRA,protein_coding
ENSG00000232985,,lncRNA
ENSG00000232728,PHB2P1,processed_pseudogene
ENSG00000132840,BHMT2,protein_coding
ENSG00000227695,DNMBP-AS1,lncRNA
ENSG00000175147,TMEM51-AS1,lncRNA
ENSG00000237592,IGKV1OR10-1,IG_V_pseudogene
ENSG00000236900,TIMM9P1,processed_pseudogene
ENSG00000127472,PLA2G5,protein_coding
ENSG00000148843,PDCD11,protein_coding
ENSG00000184012,TMPRSS2,protein_coding
ENSG00000100603,SNW1,protein_coding
ENSG00000254506,,transcribed_processed_pseudogene
ENSG00000152558,TMEM123,protein_coding
ENSG00000229627,BSNDP4,processed_pseudogene
ENSG00000185290,NUPR2,protein_coding
ENSG00000236847,,unprocessed_pseudogene
ENSG00000227789,MTCYBP7,processed_pseudogene
ENSG00000219807,ARF1P1,processed_pseudogene
ENSG00000250409,,lncRNA
ENSG00000162878,PKDCC,protein_coding
ENSG00000271824,SMIM32,protein_coding
ENSG00000131196,NFATC1,protein_coding
ENSG00000225022,UBE2D3P1,processed_pseudogene
ENSG00000225537,,lncRNA
ENSG00000248652,,processed_pseudogene
ENSG00000101292,PROKR2,protein_coding
ENSG00000234500,,unprocessed_pseudogene
ENSG00000164176,EDIL3,protein_coding
ENSG00000200313,RNA5-8SP7,rRNA_pseudogene
ENSG00000276688,,lncRNA
ENSG00000226995,LINC00658,lncRNA
ENSG00000152192,POU4F1,protein_coding
ENSG00000023287,RB1CC1,protein_coding
ENSG00000230356,NCAPD2P1,processed_pseudogene
ENSG00000060656,PTPRU,protein_coding
ENSG00000255580,,lncRNA
ENSG00000287247,,lncRNA
ENSG00000232041,PSMD10P3,processed_pseudogene
ENSG00000255483,,processed_pseudogene
ENSG00000244055,,lncRNA
ENSG00000255903,RPL12P46,processed_pseudogene
ENSG00000285568,,lncRNA
ENSG00000182957,SPATA13,protein_coding
ENSG00000254944,ATP5PBP5,processed_pseudogene
ENSG00000250618,,unprocessed_pseudogene
ENSG00000225701,EIF4A1P13,processed_pseudogene
ENSG00000227785,,processed_pseudogene
ENSG00000074201,CLNS1A,protein_coding
ENSG00000233960,,lncRNA
ENSG00000157259,GATAD1,protein_coding
ENSG00000064489,BORCS8-MEF2B,protein_coding
ENSG00000226994,,lncRNA
ENSG00000287652,,lncRNA
ENSG00000281548,LINC00895,lncRNA
ENSG00000230485,,processed_pseudogene
ENSG00000270763,DDX43P2,processed_pseudogene
ENSG00000164902,PHAX,protein_coding
ENSG00000225007,,lncRNA
ENSG00000154978,VOPP1,protein_coding
ENSG00000184702,SEPTIN5,protein_coding
ENSG00000287640,,lncRNA
ENSG00000228272,,lncRNA
ENSG00000224875,EML4-AS1,lncRNA
ENSG00000172023,REG1B,protein_coding
ENSG00000230563,,lncRNA
ENSG00000177453,NIM1K,protein_coding
ENSG00000089006,SNX5,protein_coding
ENSG00000234758,,lncRNA
ENSG00000250405,,processed_pseudogene
ENSG00000249438,KRT18P45,processed_pseudogene
ENSG00000249878,,processed_pseudogene
ENSG00000250331,LINC01340,lncRNA
ENSG00000286202,,lncRNA
ENSG00000270462,,lncRNA
ENSG00000288535,,lncRNA
ENSG00000234587,MRPL50P1,processed_pseudogene
ENSG00000250437,LINC02161,lncRNA
ENSG00000230395,ANAPC1P3,unprocessed_pseudogene
ENSG00000272416,,lncRNA
ENSG00000250853,RNF138P1,processed_pseudogene
ENSG00000270230,MTND6P22,processed_pseudogene
ENSG00000287956,,lncRNA
ENSG00000058729,RIOK2,protein_coding
ENSG00000152284,TCF7L1,protein_coding
ENSG00000248599,FLJ42969,lncRNA
ENSG00000105122,RASAL3,protein_coding
ENSG00000240271,,processed_pseudogene
ENSG00000253398,,lncRNA
ENSG00000179454,KLHL28,protein_coding
ENSG00000165078,CPA6,protein_coding
ENSG00000251574,,lncRNA
ENSG00000166428,PLD4,protein_coding
ENSG00000237160,,processed_pseudogene
ENSG00000279818,,TEC
ENSG00000231763,SLC66A2P1,processed_pseudogene
ENSG00000228225,CRLF3P3,processed_pseudogene
ENSG00000255502,LINC02713,lncRNA
ENSG00000105829,BET1,protein_coding
ENSG00000213399,RPS2P17,processed_pseudogene
ENSG00000253435,IGKV2-4,IG_V_pseudogene
ENSG00000286731,,lncRNA
ENSG00000258539,,protein_coding
ENSG00000271022,,processed_pseudogene
ENSG00000159399,HK2,protein_coding
ENSG00000227487,NCAM1-AS1,lncRNA
ENSG00000274461,LINC02930,lncRNA
ENSG00000251616,,lncRNA
ENSG00000176857,GJA1P1,processed_pseudogene
ENSG00000253726,,lncRNA
ENSG00000243669,RPL34P23,processed_pseudogene
ENSG00000250782,TAF11L14,protein_coding
ENSG00000253178,,unprocessed_pseudogene
ENSG00000229855,,lncRNA
ENSG00000249967,,protein_coding
ENSG00000254113,,lncRNA
ENSG00000255605,,lncRNA
ENSG00000242970,,processed_pseudogene
ENSG00000253495,CYCSP23,processed_pseudogene
ENSG00000279793,,TEC
ENSG00000270423,,processed_pseudogene
ENSG00000155087,ODF1,protein_coding
ENSG00000256448,,lncRNA
ENSG00000203837,PNLIPRP3,protein_coding
ENSG00000255246,,lncRNA
ENSG00000263443,,lncRNA
ENSG00000254347,,lncRNA
ENSG00000170549,IRX1,protein_coding
ENSG00000241961,,processed_pseudogene
ENSG00000253717,,lncRNA
ENSG00000280171,,unprocessed_pseudogene
ENSG00000253454,NDUFA5P2,processed_pseudogene
ENSG00000166900,STX3,protein_coding
ENSG00000253991,,processed_pseudogene
ENSG00000239917,RPS10P16,unprocessed_pseudogene
ENSG00000105750,ZNF85,protein_coding
ENSG00000164758,MED30,protein_coding
ENSG00000231188,,lncRNA
ENSG00000231471,HMGN2P34,processed_pseudogene
ENSG00000227356,GOLGA7B-DT,lncRNA
ENSG00000184838,PRR16,protein_coding
ENSG00000270333,,processed_pseudogene
ENSG00000107581,EIF3A,protein_coding
ENSG00000258899,OR4U1P,unprocessed_pseudogene
ENSG00000176246,OR4L1,protein_coding
ENSG00000252999,RNA5SP380,rRNA_pseudogene
ENSG00000258641,OR4T1P,unprocessed_pseudogene
ENSG00000259074,PSMB7P1,processed_pseudogene
ENSG00000224155,,processed_pseudogene
ENSG00000259095,GTF2IP22,processed_pseudogene
ENSG00000213673,SLC25A5P3,processed_pseudogene
ENSG00000253366,GUSBP16,unprocessed_pseudogene
ENSG00000258468,OR11G1P,unprocessed_pseudogene
ENSG00000196636,SDHAF3,protein_coding
ENSG00000284742,OR11P1P,unprocessed_pseudogene
ENSG00000176219,OR11H6,protein_coding
ENSG00000254041,,lncRNA
ENSG00000259968,,lncRNA
ENSG00000251367,,lncRNA
ENSG00000258806,OR11H7,protein_coding
ENSG00000241942,RPS20P20,processed_pseudogene
ENSG00000214108,TPT1P5,processed_pseudogene
ENSG00000136319,TTC5,protein_coding
ENSG00000272502,,lncRNA
ENSG00000271219,,processed_pseudogene
ENSG00000145826,LECT2,protein_coding
ENSG00000121039,RDH10,protein_coding
ENSG00000164715,LMTK2,protein_coding
ENSG00000284874,,protein_coding
ENSG00000149600,COMMD7,protein_coding
ENSG00000157601,MX1,protein_coding
ENSG00000147166,ITGB1BP2,protein_coding
ENSG00000160229,ZNF66,protein_coding
ENSG00000287477,,lncRNA
ENSG00000203618,GP1BB,protein_coding
ENSG00000266505,,lncRNA
ENSG00000231665,OGFOD1P1,processed_pseudogene
ENSG00000235625,,lncRNA
ENSG00000188811,NHLRC3,protein_coding
ENSG00000164961,WASHC5,protein_coding
ENSG00000185838,GNB1L,protein_coding
ENSG00000105072,C19orf44,protein_coding
ENSG00000205644,,processed_pseudogene
ENSG00000249261,,lncRNA
ENSG00000248955,,processed_pseudogene
ENSG00000251513,LIX1-AS1,lncRNA
ENSG00000249150,,lncRNA
ENSG00000101349,PAK5,protein_coding
ENSG00000249249,TICAM2-AS1,lncRNA
ENSG00000230968,,lncRNA
ENSG00000233891,,lncRNA
ENSG00000249791,,lncRNA
ENSG00000113361,CDH6,protein_coding
ENSG00000122547,EEPD1,protein_coding
ENSG00000258768,,lncRNA
ENSG00000258459,,lncRNA
ENSG00000230477,,processed_pseudogene
ENSG00000230964,,processed_pseudogene
ENSG00000286979,,lncRNA
ENSG00000231722,CHMP4AP1,processed_pseudogene
ENSG00000100814,CCNB1IP1,protein_coding
ENSG00000225428,NDUFB4P7,processed_pseudogene
ENSG00000233444,,processed_pseudogene
ENSG00000224208,ZCRB1P1,processed_pseudogene
ENSG00000213706,RHOG2P,processed_pseudogene
ENSG00000275975,Metazoa_SRP,misc_RNA
ENSG00000229601,,processed_pseudogene
ENSG00000213018,PABPN1P1,processed_pseudogene
ENSG00000273445,,lncRNA
ENSG00000199751,Y_RNA,misc_RNA
ENSG00000055813,CCDC85A,protein_coding
ENSG00000243468,INGX,transcribed_processed_pseudogene
ENSG00000215120,SOCS6P1,processed_pseudogene
ENSG00000186810,CXCR3,protein_coding
ENSG00000125787,GNRH2,protein_coding
ENSG00000168129,DHFRP3,processed_pseudogene
ENSG00000222030,LINC01793,lncRNA
ENSG00000270569,,processed_pseudogene
ENSG00000155962,CLIC2,protein_coding
ENSG00000277448,LINC02338,lncRNA
ENSG00000286698,,lncRNA
ENSG00000223402,,processed_pseudogene
ENSG00000152413,HOMER1,protein_coding
ENSG00000260962,LINC00557,lncRNA
ENSG00000226366,CCDC12P1,processed_pseudogene
ENSG00000234312,SAPCD2P4,processed_pseudogene
ENSG00000102837,OLFM4,protein_coding
ENSG00000270748,IGKV2OR2-1,IG_V_pseudogene
ENSG00000223665,,lncRNA
ENSG00000221849,,processed_pseudogene
ENSG00000287130,,lncRNA
ENSG00000109944,JHY,protein_coding
ENSG00000226860,RBX1P1,processed_pseudogene
ENSG00000213787,RPL7AP38,processed_pseudogene
ENSG00000229301,,lncRNA
ENSG00000286987,,lncRNA
ENSG00000227148,,lncRNA
ENSG00000125888,BANF2,protein_coding
ENSG00000228627,,lncRNA
ENSG00000235776,RPL7AP70,processed_pseudogene
ENSG00000227491,CCNJP1,processed_pseudogene
ENSG00000215012,RTL10,protein_coding
ENSG00000284523,,lncRNA
ENSG00000158089,GALNT14,protein_coding
ENSG00000228085,,processed_pseudogene
ENSG00000214051,ARF4P3,processed_pseudogene
ENSG00000228473,LIN28AP2,processed_pseudogene
ENSG00000230584,CCT5P2,processed_pseudogene
ENSG00000227982,RPL7P30,processed_pseudogene
ENSG00000244615,PSPC1P2,transcribed_unprocessed_pseudogene
ENSG00000244510,,transcribed_unprocessed_pseudogene
ENSG00000204919,PRR20A,protein_coding
ENSG00000269085,,lncRNA
ENSG00000268560,,lncRNA
ENSG00000225371,CICP8,processed_pseudogene
ENSG00000268598,VN1R80P,unprocessed_pseudogene
ENSG00000171954,CYP4F22,protein_coding
ENSG00000186472,PCLO,protein_coding
ENSG00000225008,TWF1P2,processed_pseudogene
ENSG00000228986,PHF10P1,processed_pseudogene
ENSG00000230491,SRD5A2P1,processed_pseudogene
ENSG00000224216,,lncRNA
ENSG00000223880,LINC01078,lncRNA
ENSG00000221190,MIR1184-2,miRNA
ENSG00000221603,MIR1184-3,miRNA
ENSG00000277745,H2AB3,protein_coding
ENSG00000249923,LINC02891,lncRNA
ENSG00000065150,IPO5,protein_coding
ENSG00000224533,TMLHE-AS1,lncRNA
ENSG00000101160,CTSZ,protein_coding
ENSG00000040608,RTN4R,protein_coding
ENSG00000225393,,lncRNA
ENSG00000185973,TMLHE,protein_coding
ENSG00000221039,MIR1286,miRNA
ENSG00000161132,PRODHLP,unprocessed_pseudogene
ENSG00000128185,DGCR6L,protein_coding
ENSG00000240418,,processed_pseudogene
ENSG00000253821,,lncRNA
ENSG00000186642,PDE2A,protein_coding
ENSG00000163867,ZMYM6,protein_coding
ENSG00000254357,XKR4-AS1,lncRNA
ENSG00000253644,LINC02845,lncRNA
ENSG00000255310,,lncRNA
ENSG00000250067,YJEFN3,protein_coding
ENSG00000237801,AMD1P2,processed_pseudogene
ENSG00000237040,DPH3P2,processed_pseudogene
ENSG00000255413,,processed_pseudogene
ENSG00000124333,VAMP7,protein_coding
ENSG00000147509,RGS20,protein_coding
ENSG00000273343,,lncRNA
ENSG00000184470,TXNRD2,protein_coding
ENSG00000183486,MX2,protein_coding
ENSG00000250705,H3P23,processed_pseudogene
ENSG00000270779,,processed_pseudogene
ENSG00000185875,THNSL1,protein_coding
ENSG00000259861,,lncRNA
ENSG00000053108,FSTL4,protein_coding
ENSG00000072422,RHOBTB1,protein_coding
ENSG00000232768,,processed_pseudogene
ENSG00000230214,FTLP18,processed_pseudogene
ENSG00000189280,GJB5,protein_coding
ENSG00000270480,,processed_pseudogene
ENSG00000171234,UGT2B7,protein_coding
ENSG00000157578,LCA5L,protein_coding
ENSG00000269019,HOMER3-AS1,lncRNA
ENSG00000134698,AGO4,protein_coding
ENSG00000269274,,unprocessed_pseudogene
ENSG00000269615,MTDHP2,processed_pseudogene
ENSG00000271638,BNIP3P19,processed_pseudogene
ENSG00000120563,LYZL1,protein_coding
ENSG00000130307,USHBP1,protein_coding
ENSG00000122507,BBS9,protein_coding
ENSG00000228410,ELOCP24,processed_pseudogene
ENSG00000223484,TRPC6P1,processed_pseudogene
ENSG00000270726,,lncRNA
ENSG00000185203,WASIR1,lncRNA
ENSG00000227159,DDX11L16,unprocessed_pseudogene
ENSG00000102076,OPN1LW,protein_coding
ENSG00000249797,LINC02147,lncRNA
ENSG00000248730,EGFLAM-AS4,lncRNA
ENSG00000234544,PTGES3P5,processed_pseudogene
ENSG00000286543,,lncRNA
ENSG00000120029,ARMH3,protein_coding
ENSG00000250669,,processed_pseudogene
ENSG00000250888,LINC01455,lncRNA
ENSG00000113296,THBS4,protein_coding
ENSG00000287174,,lncRNA
ENSG00000249382,LINC02619,lncRNA
ENSG00000253556,MTCO1P4,processed_pseudogene
ENSG00000282989,PDCL3P2,processed_pseudogene
ENSG00000230169,RPL30P16,processed_pseudogene
ENSG00000180613,GSX2,protein_coding
ENSG00000253173,H2AZP2,processed_pseudogene
ENSG00000277008,TEX28P2,unprocessed_pseudogene
ENSG00000034677,RNF19A,protein_coding
ENSG00000268221,OPN1MW,protein_coding
ENSG00000134690,CDCA8,protein_coding
ENSG00000248926,,processed_pseudogene
ENSG00000251529,,unprocessed_pseudogene
ENSG00000251212,MTND5P4,processed_pseudogene
ENSG00000153339,TRAPPC8,protein_coding
ENSG00000268736,MTCO3P39,processed_pseudogene
ENSG00000248725,,processed_pseudogene
ENSG00000287375,,lncRNA
ENSG00000222612,RNU2-52P,snRNA
ENSG00000172955,ADH6,protein_coding
ENSG00000198900,TOP1,protein_coding
ENSG00000228261,ITPRIP-AS1,lncRNA
ENSG00000237002,,lncRNA
ENSG00000250461,,processed_pseudogene
ENSG00000270902,,processed_pseudogene
ENSG00000253816,GUSBP14,unprocessed_pseudogene
ENSG00000204172,AGAP9,protein_coding
ENSG00000274962,TEX28P1,unprocessed_pseudogene
ENSG00000277009,TEX28P3,unprocessed_pseudogene
ENSG00000171314,PGAM1,protein_coding
ENSG00000007350,TKTL1,protein_coding
ENSG00000112992,NNT,protein_coding
ENSG00000287735,,lncRNA
ENSG00000272420,,lncRNA
ENSG00000222489,SNORA79B,snoRNA
ENSG00000238344,SNORD126,snoRNA
ENSG00000132881,CPLANE2,protein_coding
ENSG00000259001,,lncRNA
ENSG00000277209,RPPH1,ribozyme
ENSG00000254846,,lncRNA
ENSG00000253580,TRMT10BP1,processed_pseudogene
ENSG00000272010,,lncRNA
ENSG00000253322,,lncRNA
ENSG00000256229,ZNF486,protein_coding
ENSG00000129566,TEP1,protein_coding
ENSG00000104388,RAB2A,protein_coding
ENSG00000156140,ADAMTS3,protein_coding
ENSG00000273274,ZBTB8B,protein_coding
ENSG00000272510,,lncRNA
ENSG00000236648,LINC02810,lncRNA
ENSG00000232273,FTH1P1,processed_pseudogene
ENSG00000009709,PAX7,protein_coding
ENSG00000197124,ZNF682,protein_coding
ENSG00000095596,CYP26A1,protein_coding
ENSG00000158435,CNOT11,protein_coding
ENSG00000154723,ATP5PF,protein_coding
ENSG00000226648,PLCG1-AS1,lncRNA
ENSG00000231508,RPL34P20,processed_pseudogene
ENSG00000148541,FAM13C,protein_coding
ENSG00000276169,MIR6871,miRNA
ENSG00000272407,,transcribed_processed_pseudogene
ENSG00000242748,RPL23AP81,transcribed_processed_pseudogene
